RANDOLPH,COUNTY CLERK,618/826-5000,http://www.randolphcountyclerk.com,ocd-division/country:us/state:il/county:randolph
RICHLAND,COUNTY CLERK,618/392-3111,"",ocd-division/country:us/state:il/county:richland
ROCK ISLAND,COUNTY CLERK,309/558-3570,http://www.ricountyclerk.org,""
SALINE,COUNTY CLERK,618/253-8197,"",ocd-division/country:us/state:il/county:saline
SANGAMON,COUNTY CLERK,217/753-8683,http://www.sangamoncountyclerk.com,ocd-division/country:us/state:il/county:sangamon
SCHUYLER,COUNTY CLERK,217/322-4734,http://www.schuylercountyillinois.com,ocd-division/country:us/state:il/county:schuyler
SCOTT,COUNTY CLERK,217/742-3178,"",ocd-division/country:us/state:il/county:scott
SHELBY,COUNTY CLERK,217/774-4421,http://www.shelbycounty-il.com,ocd-division/country:us/state:il/county:shelby
STARK,COUNTY CLERK,309/286-5911,"",ocd-division/country:us/state:il/county:stark
ST. CLAIR,COUNTY CLERK,618/825-2380,http://www.countyclerk.co.st-clair.il.us,""
CITY OF EAST ST. LOUIS,EXECUTIVE DIRECTOR,618/482-6672,http://www.eslbec.org,""
STEPHENSON,COUNTY CLERK,815/235-8289,http://www.co.stephenson.il.us/clerk/elections.asp,ocd-division/country:us/state:il/county:stephenson
TAZEWELL,COUNTY CLERK,309/477-2264,http://www.tazewell.com,ocd-division/country:us/state:il/county:tazewell
UNION,COUNTY CLERK,618/833-5711,http://www.blog.unioncountyil.gov,ocd-division/country:us/state:il/county:union
VERMILION,COUNTY CLERK,217/554-1900,http://www.co.vermilion.il.us/ctyclk.htm,ocd-division/country:us/state:il/county:vermilion
CITY OF DANVILLE,EXECUTIVE DIRECTOR,217/554-1930,http://www.co.vermilion.il.us,""
WABASH,COUNTY CLERK,618/262-4561,"",ocd-division/country:us/state:il/county:wabash
WARREN,COUNTY CLERK,309/734-8592,http://www.warrencountyil.com,ocd-division/country:us/state:il/county:warren
WASHINGTON,COUNTY CLERK,618/327-4800,"",ocd-division/country:us/state:il/county:washington
WAYNE,COUNTY CLERK,618/842-5182,"",ocd-division/country:us/state:il/county:wayne
WHITE,COUNTY CLERK,618/382-7211,http://www.whitecounty-il.gov,ocd-division/country:us/state:il/county:white
WHITESIDE,COUNTY CLERK,815/772-5189,http://www.whiteside.org/county-clerk,ocd-division/country:us/state:il/county:whiteside
WILL,COUNTY CLERK,815/740-4615,http://www.thewillcountyclerk.com,ocd-division/country:us/state:il/county:will
WILLIAMSON,COUNTY CLERK,618/997-1301,http://www.williamsoncountyil.gov,ocd-division/country:us/state:il/county:williamson
WINNEBAGO,COUNTY CLERK,815/319-4250,http://elections.winnebagocountyclerk.com,ocd-division/country:us/state:il/county:winnebago
CITY OF ROCKFORD,EXECUTIVE DIRECTOR,815/987-5750,http://www.voterockford.com,""
WOODFORD,COUNTY CLERK,309/467-2822,"",ocd-division/country:us/state:il/county:woodford
